year_month,country,county,uid,uid_code,uidear,county_code,adolescent_10_24_receiving_fp_new,adolescent_10_24_receiving_fp_revisits,adults_25+_receiving_fp_services_new,adults_25+_receiving_fp_services_revisits,condoms_new,condoms_revisits,traditional_new,pills_new,pills_revisits,traditional_revisits,injectable_new,injectable_revisits,traditional,implants_new,implants_revisits,iucd_new,iucd_revisits,surgical_new,surgical_revisits,condoms,pills,injectables,implants,iucd,surgical,total_modern_fp,total_cyp,periodid,periodname,pills_combined_oral_contraceptive_stock_losses,pills_combined_oral_contraceptive_stock_dispensed,pills_combined_oral_contraceptive_stock_at_hand,pills_combined_oral_contraceptive_stock_requested,pills_combined_oral_contraceptive_stock_received,pills_emergency_pill_stock_losses,pills_emergency_pill_stock_dispensed,pills_emergency_pill_stock_at_hand,pills_emergency_pill_stock_requested,pills_emergency_pill_stock_received,pills_progestin_only_pills_stock_losses,pills_progestin_only_pills_stock_dispensed,pills_progestin_only_pills_stock_at_hand,pills_progestin_only_pills_stock_requested,pills_progestin_only_pills_stock_received,condoms_female_condom_stock_losses,condoms_female_condom_stock_dispensed,condoms_female_condom_stock_at_hand,condoms_female_condom_stock_requested,condoms_female_condom_stock_received,condoms_male_condom_stock_losses,condoms_male_condom_stock_dispensed,condoms_male_condom_stock_at_hand,condoms_male_condom_stock_requested,condoms_male_condom_stock_received,injectables_stock_losses,injectables_stock_dispensed,injectables_stock_at_hand,injectables_stock_requested,injectables_stock_received,implants_stock_losses,implants_stock_dispensed,implants_stock_at_hand,implants_stock_requested,implants_stock_received,iud_stock_losses,iud_stock_dispensed,iud_stock_at_hand,iud_stock_requested,iud_stock_received,eligible_fp,"core_health_workforce_per_10,000population",Demand_Satisfied_by_Modern_Methods (%),"mCPR (Married Women, %)","Teenage Pregnancy Rate (15-19, %)","Total Unmet Need (Married Women, %)"
202412,Kenya,Kwale,N7YETT3A9r1,202412_N7YETT3A9r1,2024_N7YETT3A9r1,KE_County_2,821,2065,877,4726,127,99,814,225,231,49,1595,5581,863,479,240,26,5,4,0,226,456,7176,719,31,4,8612,4306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248890.26,,,,,
202412,Kenya,Migori,fVra3Pwta0Q,202412_fVra3Pwta0Q,2024_fVra3Pwta0Q,KE_County_44,6551,5177,1602,5577,731,488,1265,1142,898,219,1805,5946,1484,5288,2038,379,48,9,0,1219,2040,7751,7326,427,9,18772,28378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372197.0,,,,,
202412,Kenya,Muranga,ahwTMNAJvrL,202412_ahwTMNAJvrL,2024_ahwTMNAJvrL,KE_County_21,612,1179,997,4373,174,402,76,755,1448,21,652,3068,97,577,382,103,56,0,0,576,2203,3720,959,159,0,7617,4809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308647.0,,,,,
202412,Kenya,Kericho,ihZsJ8alvtb,202412_ihZsJ8alvtb,2024_ihZsJ8alvtb,KE_County_35,1007,1538,1675,2138,226,80,195,462,638,105,1372,3821,300,769,681,29,19,8,0,306,1100,5193,1450,48,8,8105,6700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306614.0,,,,,
202412,Kenya,Embu,PFu8alU2KWG,202412_PFu8alU2KWG,2024_PFu8alU2KWG,KE_County_14,331,996,378,3938,96,68,25,305,1011,0,406,3481,25,374,323,61,38,3,0,164,1316,3887,697,99,3,6166,3780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196151.0,,,,,
202412,Kenya,Kajiado,Hsk1YV8kHkT,202412_Hsk1YV8kHkT,2024_Hsk1YV8kHkT,KE_County_34,1214,1699,1957,3672,350,409,321,835,779,3,1726,4099,324,742,332,205,75,15,0,759,1614,5825,1074,280,15,9567,6622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388460.0,,,,,
202412,Kenya,Kirinyaga,Ulj33KBau7V,202412_Ulj33KBau7V,2024_Ulj33KBau7V,KE_County_20,524,1515,454,4539,173,170,1,399,1710,0,808,3422,1,330,311,84,37,0,0,343,2109,4230,641,121,0,7444,3821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199442.0,,,,,
202412,Kenya,Makueni,BoDytkJQ4Qi,202412_BoDytkJQ4Qi,2024_BoDytkJQ4Qi,KE_County_17,728,1832,682,7295,163,324,219,501,824,0,564,7745,219,901,540,54,15,10,0,487,1325,8309,1441,69,10,11641,7654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286473.0,,,,,
202412,Kenya,Lamu,NjWSbQTwys4,202412_NjWSbQTwys4,2024_NjWSbQTwys4,KE_County_5,134,202,203,691,176,1016,26,184,323,0,192,659,26,78,25,7,5,0,0,1192,507,851,103,12,0,2665,629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43664.0,,,,,
202412,Kenya,Baringo,vvOK1BxTbet,202412_vvOK1BxTbet,2024_vvOK1BxTbet,KE_County_30,446,692,439,1789,293,183,58,362,756,32,484,1962,90,342,223,19,7,0,0,476,1118,2446,565,26,0,4631,2413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209548.0,,,,,
