periodid,periodname,periodcode,perioddescription,orgunitlevel1,orgunitlevel2,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,pills_combined_oral_contraceptive_stock_losses,pills_combined_oral_contraceptive_stock_dispensed,pills_combined_oral_contraceptive_stock_at_hand,pills_combined_oral_contraceptive_stock_requested,pills_combined_oral_contraceptive_stock_received,pills_emergency_pill_stock_losses,pills_emergency_pill_stock_dispensed,pills_emergency_pill_stock_at_hand,pills_emergency_pill_stock_requested,pills_emergency_pill_stock_received,pills_progestin_only_pills_stock_losses,pills_progestin_only_pills_stock_dispensed,pills_progestin_only_pills_stock_at_hand,pills_progestin_only_pills_stock_requested,pills_progestin_only_pills_stock_received,condoms_female_condom_stock_losses,condoms_female_condom_stock_dispensed,condoms_female_condom_stock_at_hand,condoms_female_condom_stock_requested,condoms_female_condom_stock_received,condoms_male_condom_stock_losses,condoms_male_condom_stock_dispensed,condoms_male_condom_stock_at_hand,condoms_male_condom_stock_requested,condoms_male_condom_stock_received,injectables_stock_losses,injectables_stock_dispensed,injectables_stock_at_hand,injectables_stock_requested,injectables_stock_received,implants_stock_losses,implants_stock_dispensed,implants_stock_at_hand,implants_stock_requested,implants_stock_received,iud_stock_losses,iud_stock_dispensed,iud_stock_at_hand,iud_stock_requested,iud_stock_received
201404,14-Apr,201404,,Kenya,Kirinyaga County,Ulj33KBau7V,Kirinyaga County,KE_County_20,,0,5728,46036,4768,1459,0,47,7899,666,10,0,250,809,2957,114,0,0,0,0,0,0,0,0,0,0,0,6660,104346,15026,1530,0,223,1670,245,30,1,253,1445,368,30
201404,14-Apr,201404,,Kenya,Kisii County,sPkRcDvhGWA,Kisii County,KE_County_45,,0,8,58,180,0,0,0,50,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,59,500,50,0,6,14,70,20,0,0,0,20,0
201404,14-Apr,201404,,Kenya,Kisumu County,tAbBVBbueqD,Kisumu County,KE_County_42,,17,241,3542,100,0,0,0,23,360,0,0,53,1335,110,0,0,0,0,0,0,0,0,0,0,0,0,396,9016,100,1100,1,151,1719,100,0,0,20,78,220,0
201404,14-Apr,201404,,Kenya,Makueni County,BoDytkJQ4Qi,Makueni County,KE_County_17,,135,149,2588,100,0,0,1,265,100,0,0,14,1136,400,0,0,0,0,0,0,0,0,0,0,0,5,942,2891,400,825,0,31,89,50,40,0,2,289,20,0
201404,14-Apr,201404,,Kenya,Kwale County,N7YETT3A9r1,Kwale County,KE_County_2,,13,693,9289,1995,2,0,24,1095,185,0,0,65,2432,535,0,0,0,0,0,0,0,0,0,0,0,130,2472,18117,2250,1375,1,94,1224,250,53,1,7,444,25,0
201404,14-Apr,201404,,Kenya,Turkana County,kphDeKClFch,Turkana County,KE_County_23,,0,0,290,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,691,0,0,0,2,63,0,0,0,0,87,0,0
201404,14-Apr,201404,,Kenya,Nandi County,t0J75eHKxz5,Nandi County,KE_County_29,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,3000,0,5000,0,0,0,0,0,0,0,0,0,0
201404,14-Apr,201404,,Kenya,Embu County,PFu8alU2KWG,Embu County,KE_County_14,,0,2876,22422,2805,694,1,31,2270,385,0,3,285,3223,1817,163,0,0,0,0,0,0,0,0,0,0,305,3421,17986,3866,1417,4,111,3708,560,99,12,63,9664,234,51
201404,14-Apr,201404,,Kenya,Kericho County,ihZsJ8alvtb,Kericho County,KE_County_35,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201404,14-Apr,201404,,Kenya,Kakamega County,BjC1xL40gHo,Kakamega County,KE_County_37,,0,462,5565,430,7559,0,10,193,210,0,0,96,3333,40,65,0,0,0,0,0,0,0,0,0,0,0,2286,10466,1245,12350,0,97,441,189,580,0,38,648,535,11
201404,14-Apr,201404,,Kenya,Bungoma County,KGHhQ5GLd4k,Bungoma County,KE_County_39,,0,71,9834,100,0,0,4,2102,100,0,0,12,2148,120,0,0,0,0,0,0,0,0,0,0,0,0,642,10086,2100,3850,0,230,1978,1150,1000,0,21,268,1060,0
201404,14-Apr,201404,,Kenya,Bomet County,HMNARUV2CW4,Bomet County,KE_County_36,,0,0,1155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201404,14-Apr,201404,,Kenya,Narok County,kqJ83J2D72s,Narok County,KE_County_33,,0,0,1294,0,0,0,0,0,0,0,0,0,445,0,0,0,0,0,0,0,0,0,0,0,0,0,116,126,0,0,0,2,0,0,0,0,0,0,0,0
201404,14-Apr,201404,,Kenya,Nyandarua County,mYZacFNIB3h,Nyandarua County,KE_County_18,,0,224,4174,0,30,0,15,24,0,0,0,2,22,270,0,0,0,0,0,0,0,0,0,0,0,0,529,1414,779,600,0,39,1171,35,148,0,0,0,0,0
201404,14-Apr,201404,,Kenya,Busia County,Tvf1zgVZ0K4,Busia County,KE_County_40,,0,0,2304,0,0,0,0,0,2000,0,0,0,90,3000,0,0,0,0,0,0,0,0,0,0,0,0,300,11100,0,9100,0,0,550,0,200,0,0,840,0,0
