periodid,periodname,periodcode,perioddescription,orgunitlevel1,orgunitlevel2,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,Estimated Number of Pregnant Women,Population 10-14 Year-Old Girls,Women of childbearing age (15–49yrs),uid_code,uid_year,,,,
2014,2014,2014,,Kenya,Kajiado County,Hsk1YV8kHkT,Kajiado County,KE_County_34,,30521,,174354,201401_Hsk1YV8kHkT,2014_Hsk1YV8kHkT,,,,
2014,2014,2014,,Kenya,Laikipia County,xuFdFy6t9AH,Laikipia County,KE_County_31,,12362,,68426,201401_xuFdFy6t9AH,2014_xuFdFy6t9AH,,,,
2014,2014,2014,,Kenya,Turkana County,kphDeKClFch,Turkana County,KE_County_23,,24517,,225176,201401_kphDeKClFch,2014_kphDeKClFch,,,,
2014,2014,2014,,Kenya,Nandi County,t0J75eHKxz5,Nandi County,KE_County_29,,43784,,223505,201401_t0J75eHKxz5,2014_t0J75eHKxz5,,,,
2014,2014,2014,,Kenya,Elgeyo Marakwet County,MqnLxQBigG0,Elgeyo Marakwet County,KE_County_28,,18424,,103238,201401_MqnLxQBigG0,2014_MqnLxQBigG0,,,,
2014,2014,2014,,Kenya,Kwale County,N7YETT3A9r1,Kwale County,KE_County_2,,33980,,249162,201401_N7YETT3A9r1,2014_N7YETT3A9r1,,,,
2014,2014,2014,,Kenya,Homa Bay County,nK0A12Q7MvS,Homa Bay County,KE_County_43,,45558,,266176,201401_nK0A12Q7MvS,2014_nK0A12Q7MvS,,,,
2014,2014,2014,,Kenya,Trans Nzoia County,mThvosEflAU,Trans Nzoia County,KE_County_26,,45934,,240397,201401_mThvosEflAU,2014_mThvosEflAU,,,,
2014,2014,2014,,Kenya,West Pokot County,XWALbfAPa6n,West Pokot County,KE_County_24,,21198,,144549,201401_XWALbfAPa6n,2014_XWALbfAPa6n,,,,
2014,2014,2014,,Kenya,Bomet County,HMNARUV2CW4,Bomet County,KE_County_36,,39762,,237820,201401_HMNARUV2CW4,2014_HMNARUV2CW4,,,,
2014,2014,2014,,Kenya,Kakamega County,BjC1xL40gHo,Kakamega County,KE_County_37,,68016,,445067,201401_BjC1xL40gHo,2014_BjC1xL40gHo,,,,
2014,2014,2014,,Kenya,Kilifi County,nrI2khZx3d0,Kilifi County,KE_County_3,,52275,,302669,201401_nrI2khZx3d0,2014_nrI2khZx3d0,,,,
2014,2014,2014,,Kenya,Nairobi County,jkG3zaihdSs,Nairobi County,KE_County_47,,158875,,981191,201401_jkG3zaihdSs,2014_jkG3zaihdSs,,,,
