periodid,periodname,periodcode,perioddescription,orgunitlevel1,orgunitlevel2,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,Estimated Number of Pregnant Women,FP Attendance New clients,FP Attendance Re-visits,MOH 711 Adolescent 10-14 yrs Receiving FP Services New clients,MOH 711 Adolescent 10-14 yrs Receiving FP Services Re-visits,MOH 711 Adolescent 15-19 Yrs Receiving FP Services New clients,MOH 711 Adolescent 15-19 Yrs Receiving FP Services Re-visits,MOH 711 Adolescent 20-24 Yrs Receiving FP Services New clients,MOH 711 Adolescent 20-24 Yrs Receiving FP Services Re-visits,MOH 711 Client receiving Male condoms New clients,MOH 711 Client receiving Male condoms Re-visits,MOH 711 Clients Counselled Natural Family Planning New clients,MOH 711 Clients Counselled Natural Family Planning Re-visits,MOH 711 Clients receiving Female Condoms New clients,MOH 711 Clients receiving Female Condoms Re-visits,MOH 711 Emergency contraceptive pill New clients,MOH 711 Emergency contraceptive pill Re-visits,MOH 711 Pills Combined oral contraceptive New clients,MOH 711 Pills Combined oral contraceptive Re-visits,MOH 711 Pills progestin only New clients,MOH 711 Pills progestin only Re-visits,MOH 711 Rev 2020_Adults 25+ receiving FP Services New clients,MOH 711 Rev 2020_Adults 25+ receiving FP Services Re-visits,MOH 711 Rev 2020_Clients given cycle beads New clients,MOH 711 Rev 2020_Clients given cycle beads Re-visits,MOH 711 Rev 2020_Clients receiving post abortion FP New clients,MOH 711 Rev 2020_Clients receiving post abortion FP Re-visits,MOH 711 Rev 2020_FP Injections DMPA- IM New clients,MOH 711 Rev 2020_FP Injections DMPA- IM Re-visits,MOH 711 Rev 2020_FP Injections DMPA- SC New clients,MOH 711 Rev 2020_FP Injections DMPA- SC Re-visits,MOH 711 Rev 2020_IUCD Insertion Hormonal Ist Time Insertion,MOH 711 Rev 2020_IUCD Insertion Hormonal Re-insertion,MOH 711 Rev 2020_IUCD Insertion Non Hormonal Ist Time Insertion,MOH 711 Rev 2020_IUCD Insertion Non Hormonal Re-insertion,MOH 711 Rev 2020_Implants insertion 1 Rod Ist Time Insertion,MOH 711 Rev 2020_Implants insertion 1 Rod Re-insertion,MOH 711 Rev 2020_Implants insertion 2 Rod Ist Time Insertion,MOH 711 Rev 2020_Implants insertion 2 Rod Re-insertion,MOH 711 Rev 2020_Post parturm FP 4weeks to 6weeks New clients,MOH 711 Rev 2020_Post parturm FP 4weeks to 6weeks Re-visits,MOH 711 Rev 2020_Post parturm FP within 48 Hours New clients,MOH 711 Rev 2020_Post parturm FP within 48 Hours Re-visits,MOH 711 Rev 2020_Voluntary Surgical Contraception Vasectomy Ist Time Insertion,MOH 711 Rev 2020_Voluntary Surgical Contraception Vasectomy Re-insertion,MOH 711 Rev 2020_Voluntary surgical contraception BTL Ist Time Insertion,MOH 711 Rev 2020_Voluntary surgical contraception BTL Re-insertion,Population Growth Rate,Total Population,Women of childbearing age (15–49yrs)
201404,April 2014,201404,,Kenya,Turkana County,kphDeKClFch,Turkana County,KE_County_23,,24517.0,440.0,896.0,,,,,,,874,1144.0,33.0,51.0,,,,,59.0,81.0,140.0,147.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.16,999367.0,225176.0
201404,April 2014,201404,,Kenya,Nandi County,t0J75eHKxz5,Nandi County,KE_County_29,,43784.0,3572.0,7044.0,,,,,,,1976,1523.0,,22.0,,,,,278.0,516.0,414.0,144.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.02,938866.0,223505.0
201404,April 2014,201404,,Kenya,West Pokot County,XWALbfAPa6n,West Pokot County,KE_County_24,,21198.0,745.0,738.0,,,,,,,1029,877.0,,,,,,,77.0,76.0,9.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,597313.0,144549.0
201404,April 2014,201404,,Kenya,Bomet County,HMNARUV2CW4,Bomet County,KE_County_36,,39762.0,2521.0,4411.0,,,,,,,974,650.0,10.0,,,,,,140.0,160.0,16.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1568.96,834381.7,237820.0
201404,April 2014,201404,,Kenya,Nairobi County,jkG3zaihdSs,Nairobi County,KE_County_47,,158875.0,11356.0,26382.0,,,,,,,10620,11700.0,85.0,50.0,,,,,1760.0,5463.0,502.0,804.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.02,3894186.0,981191.0
201404,April 2014,201404,,Kenya,Samburu County,o36zCRjSd4G,Samburu County,KE_County_25,,11637.0,364.0,614.0,,,,,,,32,5.0,,,,,,,19.0,26.0,20.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,259738.0,55039.0
201404,April 2014,201404,,Kenya,Mombasa County,wsBsC6gjHvn,Mombasa County,KE_County_1,,42031.0,3013.0,6907.0,,,,,,,396,645.0,20.0,3.0,,,,,457.0,1538.0,236.0,354.0,,,,,,,,,,,,,,,,,,,,,,,,,,,46937.16,1135932.0,256032.0
201404,April 2014,201404,,Kenya,Nyamira County,uepLTG8wGWJ,Nyamira County,KE_County_46,,19418.0,3437.0,5433.0,,,,,,,388,330.0,9.0,9.0,,,,,235.0,295.0,107.0,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,571069.0,142769.0
201404,April 2014,201404,,Kenya,Taita Taveta County,QyGNX2DpR4h,Taita Taveta County,KE_County_6,,13963.0,890.0,4662.0,,,,,,,247,253.0,,22.0,,,,,59.0,685.0,60.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,310244.0,76923.0
201404,April 2014,201404,,Kenya,Kilifi County,nrI2khZx3d0,Kilifi County,KE_County_3,,52275.0,3513.0,7939.0,,,,,,,1645,244.0,5.0,,,,,,282.0,570.0,71.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.97,1276053.0,302669.0
201404,April 2014,201404,,Kenya,Laikipia County,xuFdFy6t9AH,Laikipia County,KE_County_31,,12362.0,1539.0,3656.0,,,,,,,170,249.0,5.0,4.0,,,,,253.0,774.0,142.0,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,280147.0,68426.0
201404,April 2014,201404,,Kenya,Trans Nzoia County,mThvosEflAU,Trans Nzoia County,KE_County_26,,45934.0,2421.0,2987.0,,,,,,,975,418.0,,,,,,,242.0,609.0,53.0,125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.01,945769.0,240397.0
201404,April 2014,201404,,Kenya,Busia County,Tvf1zgVZ0K4,Busia County,KE_County_40,,30641.0,2104.0,4684.0,,,,,,,313,478.0,,,,,,,354.0,791.0,46.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.58,844470.0,201365.0
201404,April 2014,201404,,Kenya,Kiambu County,qKzosKQPl6G,Kiambu County,KE_County_22,,51967.0,6624.0,13401.0,,,,,,,938,1102.0,23.0,4.0,,,,,1156.0,5784.0,864.0,1010.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.44,1759754.0,486575.0
201404,April 2014,201404,,Kenya,Nyeri County,ptWVfaCIdVx,Nyeri County,KE_County_19,,18072.0,1871.0,7775.0,,,,,,,772,189.0,14.0,4.0,,,,,455.0,2109.0,222.0,327.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.64,711346.0,177918.0
201404,April 2014,201404,,Kenya,Tharaka Nithi County,T4urHM47nlm,Tharaka Nithi County,KE_County_13,,14478.0,1099.0,4110.0,,,,,,,1089,313.0,1.0,,1.0,,,,134.0,437.0,78.0,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.53,411115.0,101483.0
201404,April 2014,201404,,Kenya,Meru County,Y52XNJ50hYb,Meru County,KE_County_12,,43360.0,4826.0,10773.0,,,,,,,1273,1826.0,15.0,18.0,,,,,891.0,2547.0,750.0,1119.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,1441362.0,360955.0
201404,April 2014,201404,,Kenya,Nakuru County,ob6SxuRcqU4,Nakuru County,KE_County_32,,70948.0,5354.0,12843.0,,,,,,,1283,819.0,12.0,15.0,,,,,714.0,1715.0,499.0,425.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.55,1895774.0,475593.0
